,city,lon,lat,country,max temp,pressure,humidity,wind speed,cloudiness,date_in
110,Tuatapere,167.6833,-46.1333,NZ,40.44,1029,71,3.74,74,1634661867
111,Guerrero Negro,-114.0611,27.9769,MX,68.83,1017,60,14.18,37,1634661869
112,Santa María del Monte,-99.8228,19.2878,MX,66.11,1018,45,1.45,41,1634661870
113,Nikolskoye,30.7861,59.7035,RU,35.87,1020,79,4.18,40,1634661870
114,Mackay,149.2,-21.15,AU,72.05,1010,77,3.44,8,1634661871
115,Itoman,127.6694,26.1247,JP,73.42,1017,74,18.41,75,1634661871
116,Kieta,155.6333,-6.2167,PG,78.87,1011,84,3.36,28,1634661872
117,Aljezur,-8.8033,37.3191,PT,75.29,1020,55,6.35,56,1634661797
118,Cabo San Lucas,-109.9124,22.8909,MX,85.6,1015,65,11.5,1,1634661703
119,Karratha,116.8463,-20.7377,AU,71.02,1015,49,13.13,90,1634661873
120,Nanortalik,-45.2371,60.1432,GL,41.43,1022,48,2.3,60,1634661873
121,Hilo,-155.09,19.7297,US,70.39,1018,88,5.75,90,1634661614
122,Vestmannaeyjar,-20.2734,63.4427,IS,47.39,999,71,5.75,0,1634661874
123,Hithadhoo,73.0833,-0.6,MV,82.71,1013,75,11.92,70,1634661874
124,Moche,-79.0092,-8.1711,PE,62.78,1016,82,9.22,90,1634661875
125,Qaanaaq,-69.3632,77.484,GL,22.39,1010,73,10.54,96,1634661875
126,Kichmengskiy Gorodok,45.7854,59.9816,RU,30.83,1010,94,4.54,88,1634661876
127,Cidreira,-50.2056,-30.1811,BR,65.52,1023,63,10.6,3,1634661876
128,Andenes,16.1194,69.3143,NO,31.98,1008,64,23.02,0,1634661877
129,Cap Malheureux,57.6142,-19.9842,MU,74.46,1021,76,3.0,25,1634661877
130,Conde,-34.9075,-7.2597,BR,85.46,1013,62,12.66,40,1634661878
131,Puerto Gaitán,-72.0816,4.3133,CO,85.62,1011,67,6.13,99,1634661878
132,Dhidhdhoo,73.1,6.8833,MV,82.13,1013,74,11.9,55,1634661878
133,Santa Cruz de Barahona,-71.1008,18.2085,DO,87.62,1015,66,13.8,40,1634661879
134,Makkah al Mukarramah,39.8261,21.4267,SA,85.95,1012,48,5.37,0,1634661879
135,Santa Isabel Rio Negro,-65.0192,-0.4139,BR,92.88,1011,46,2.98,81,1634661880
136,Mount Isa,139.5,-20.7333,AU,78.57,1012,38,0.0,82,1634661880
137,Ossora,163.0719,59.2353,RU,23.11,1002,52,8.5,17,1634661873
138,Valparaíso,-71.6273,-33.0393,CL,58.64,1015,77,11.5,75,1634661992
139,Morón,-58.6198,-34.6534,AR,76.01,1020,37,3.0,2,1634662071
140,Gillette,-105.5022,44.2911,US,37.69,1015,94,13.0,90,1634662071
141,Castro,-50.0119,-24.7911,BR,56.16,1018,95,7.43,100,1634662071
142,Alma,-71.6491,48.5501,CA,48.54,1004,71,13.8,100,1634662072
143,Zhytomyr,28.6767,50.2649,UA,38.93,1027,48,3.91,57,1634662072
144,Broome,-75.833,42.2506,US,63.63,1000,59,4.0,1,1634662073
145,Isangel,169.2667,-19.55,VU,75.63,1014,91,4.43,100,1634662073
146,Alanya,31.9998,36.5438,TR,71.73,1019,48,3.6,5,1634662074
147,Kiunga,141.2906,-6.1219,PG,72.54,1010,100,0.47,91,1634662074
148,Sept-Îles,-66.3821,50.2001,CA,50.05,995,93,3.0,90,1634662074
149,Ji’an,114.9793,27.1172,CN,57.97,1020,93,4.63,100,1634662075
150,Akçakoca,31.1162,41.0866,TR,54.68,1028,76,8.23,9,1634662075
151,Kloulklubed,134.2556,7.0419,PW,81.1,1011,77,10.25,97,1634662076
152,Poconé,-56.6228,-16.2567,BR,93.69,1011,39,1.52,73,1634662076
153,Kutum,24.6667,14.2,SD,82.76,1011,13,11.25,8,1634662077
154,Airai,125.4092,-8.9266,TL,62.55,1015,84,1.66,84,1634662077
155,Saint-Pierre,55.4781,-21.3393,RE,74.88,1020,75,0.0,20,1634662077
156,Qian’an,124.0581,44.9932,CN,34.18,1025,46,8.14,0,1634662078
157,Lakes Entrance,147.981,-37.8811,AU,56.16,1024,92,10.54,47,1634662078
158,Jiuquan,98.5174,39.7432,CN,40.8,1025,30,4.47,85,1634662079
159,Chui,-53.4616,-33.6971,UY,66.6,1023,55,10.27,10,1634662079
160,Margate,1.3862,51.3813,GB,64.96,1006,76,8.01,9,1634662080
161,Nome,-165.4064,64.5011,US,33.87,983,86,21.85,90,1634662080
162,Torbay,-52.7314,47.6666,CA,59.76,1003,72,13.8,20,1634661904
163,Anchorage,-149.9003,61.2181,US,41.88,992,76,1.01,90,1634661837
164,Cockburn Town,-71.1419,21.4612,TC,82.42,1015,73,9.46,54,1634662081
165,Winburg,27.0093,-28.518,ZA,63.48,1018,24,4.61,72,1634662082
166,Hirado,129.5531,33.3597,JP,61.39,1018,54,19.55,99,1634662083
167,Indiana,-86.2503,40.0003,US,68.95,1022,49,6.91,1,1634661968
168,Iqaluit,-68.5145,63.7506,CA,37.13,1017,86,20.0,90,1634662084
169,Ribeira Grande,-28.7,38.5167,PT,73.8,1020,60,12.66,40,1634662084
170,Laguna,-121.4238,38.421,US,60.08,1018,74,1.01,1,1634662085
171,Saint-Philippe,55.7679,-21.3585,RE,74.79,1022,78,9.08,72,1634662085
172,Ola,151.2833,59.5833,RU,13.1,1010,54,8.52,0,1634662086
173,Phan Thiet,108.1,10.9333,VN,78.39,1013,90,1.86,73,1634662086
174,Varhaug,5.6457,58.6147,NO,54.48,1001,91,17.96,100,1634662087
175,Salym,71.4789,60.0625,RU,48.38,1008,58,12.28,100,1634662087
176,Severo-Kuril'sk,156.125,50.6789,RU,40.03,1016,84,14.74,81,1634661970
177,Ponta do Sol,-17.1,32.6667,PT,83.71,1020,67,3.2,91,1634662088
178,Lüderitz,15.1594,-26.6481,NA,64.15,1010,59,9.78,2,1634662088
179,São João da Barra,-41.0511,-21.6403,BR,73.49,1016,94,12.75,100,1634662089
180,Port Hardy,-127.4199,50.6996,CA,50.0,1007,81,18.41,75,1634661903
181,Morgan City,-91.2068,29.6994,US,78.01,1020,69,7.38,30,1634662089
182,Lompoc,-120.4579,34.6391,US,66.09,1016,70,5.01,1,1634662025
183,Vardø,31.1107,70.3705,NO,33.78,1012,64,13.8,40,1634662090
184,Anadyr,177.4833,64.75,RU,30.7,983,80,11.01,40,1634662090
185,San Patricio,-97.5169,28.017,US,83.01,1017,52,13.18,96,1634662091
186,Sitka,-135.33,57.0531,US,53.49,1000,43,18.41,90,1634662091
187,Mount Darwin,31.5838,-16.7725,ZW,71.33,1018,51,14.0,75,1634662092
188,Vágur,-6.8119,61.4732,FO,50.25,990,98,13.2,100,1634662092
189,Zapolyarnyy,30.8136,69.4154,RU,27.68,1014,84,5.26,89,1634662093
190,Weymouth,-70.9398,42.2209,US,60.44,1009,53,7.0,40,1634662093
191,Saint Anthony,-93.218,45.0205,US,69.15,1013,53,1.01,1,1634662094
192,Kaohsiung City,120.3133,22.6163,TW,79.03,1016,77,3.44,75,1634662094
193,Kagal'nitskaya,40.1466,46.8806,RU,43.79,1022,60,6.89,72,1634662094
194,Karīmganj,92.35,24.8667,IN,74.32,1013,96,0.36,99,1634662095
195,Baruun-Urt,113.2792,46.6806,MN,29.66,1027,56,6.35,9,1634662095
